福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
闽侯县中津工艺品加工厂	厂长：肖瑜	地址：福建省闽侯县白沙镇溪头村张厝里
闽侯县余盛工艺品厂	厂长：余谋钢	地址：福建省闽侯县白沙镇溪头村可河38号后面
福州亿宝工艺品有限公司	总经理：李东宝	地址：闽侯县鸿尾乡官路村
福州福田艺城工艺品有限公司	总经理：杨大院	地址：福建省闽侯县小箬乡福田村２２号
福州明富工艺品有限公司	总经理：李德明	地址：福建省闽侯县鸿尾乡石佛头街
福州闽鹰工艺品有限公司	总经理：张章鹰	地址：福建省闽侯县鸿尾乡石
福州华谊工艺品有限公司	总经理：徐诗榕	地址：福建省闽侯县甘蔗街道工业区
福州赛得家居工艺品有限公司	总经理：程升	地址：福建省闽侯县甘蔗街道陈店湖工业区
福州荣煌工艺品有限公司	总经理：郑仕光	地址：福建省福州市闽侯县青口镇前街村委会楼上
闽侯县艺辉工艺品厂	厂长：张兴锋	地址：福建省福州市闽侯县荆溪镇厚屿村桐溪
闽侯县鸿尾工艺品经营部	老板：曾祯宝	地址：福建省福州市闽侯县鸿尾乡超?村１２１号
闽侯县方舟工艺品有限公司	总经理：叶小舟	地址：福建省福州市闽侯县甘蔗墩园洲５３号
闽侯县古林工艺品厂	厂长：吴宝如	地址：福建省福州市闽侯县白沙镇上寨村
福建省闽侯县益丰源工艺品有限公司(国内业务部)	联系人：唐加军	地址：福建省闽侯县福州市荆溪镇西门外厚屿187号
闽侯县达克工艺品有限公司	总经理：林再?	地址：福建省福州市闽侯县荆溪镇关口村
闽侯县福丰工艺品加工厂	厂长：林廷晃	地址：福建省福州市闽侯县荆溪厚屿村２７号
福州蓝枫工艺品有限公司	总经理：林成武	地址：福建省福州市闽侯县尚干镇福厦路西侧２１．６公里处
福州闽信木业工艺品有限公司	总经理：江仕清	地址：福建省福州市闽侯县南屿镇高岐工业区
闽侯县森联工艺品厂	厂长：黄香旺	地址：福建省福州市闽侯县竹岐乡榕西村（３１６国道边）
福州鸿桥工艺品有限公司	总经理：黄善焕	地址：福建省福州市闽侯县鸿尾乡大模村洋中１３９号
福州联星工艺品有限公司	总经理：黄恒松	地址：福建省福州市闽侯县甘蔗镇长江村
闽侯县怡佳工艺品有限公司	总经理：黄恒光	地址：福建省福州市闽侯县荆溪镇桐口村３２号
闽侯县溪元家传工艺品厂	厂长：池家传	地址：福建省福州市闽侯县鸿尾乡溪源村３６号
福州福津工艺品有限公司	总经理：程道柱	地址：福建省福州市闽侯县甘蔗镇陈店湖工业区
福州禄艺雕刻工艺品有限公司	总经理：陈遵禄	地址：福建省福州市闽侯县上街镇新峰村
福建省闽侯县零点工艺品有限公司	总经理：陈辅群	地址：福建省福州市闽侯县甘蔗镇陈店湖工业区９号楼
闽侯县兴诚工艺品有限公司	总经理：陈辅端	地址：福建省福州市闽侯县甘蔗工业区
闽侯县腾祥塑料包装品有限公司	总经理：陈锦瑞	地址：福建省闽侯县青口投资区汽配城８号楼
福州翔腾塑料科技开发有限公司	总经理：何建明	地址：福建省福州市闽侯县荆溪镇永丰村
闽侯县上街海狮咨询服务部	老板：赵志强	地址：福建省福州市闽侯县上街镇沙堤村中洲８号
福建省闽侯县点石建筑工程咨询工作室	联系人：曾晓琴	地址：福建省福州市闽侯县荆溪镇绿洲家园Ｂ区Ｃ２３
福建永惠医药连锁有限公司第十五分店	老板：赵燕燕	地址：福建省福州市闽侯县尚干镇洋中村祥谦路１５３号
福建省宜又佳医药连锁有限公司第二十分店	老板：林威	地址：福建省福州市闽侯县尚干镇洋中村祥谦路１５６号
柏源（福建）化工有限公司	总经理：翁加兴	地址：福建省福州市闽侯县上街镇工贸路
闽侯县建达日用化工厂	厂长：陈学忠	地址：福建省福州市闽侯县荆溪镇关东村
福州力业化工有限公司	总经理：陈继顺	地址：福建省福州市闽侯县白沙镇汶溪２号
闽侯县山水制衣厂	厂长：程秀玉	地址：福建省福州市闽侯县甘蔗镇交通路５４号
闽侯县亿兴五金机械贸易有限公司	总经理：叶学桂	地址：福建省闽侯县青口镇船尾村后门兜小区
闽侯县华兴机械厂	厂长：张先生	地址：福州福建省福州市闽侯县祥谦镇枕峰工业区华兴机械厂
福州福龙膜科技开发有限公司	总经理：张群华	地址：福州福州市闽侯县南屿镇后山工业集中区
福建省闽侯鑫榕新纸业有限公司	总经理：林经理	地址：福建省福州闽侯县竹岐乡南洋工业区
闽侯县福通土工材料厂	厂长：洪海峰	地址：福州闽侯闽侯县甘蔗镇铁岭5号
福州钧泽景观工程有限公司	总经理：许先生	地址：福州福州市闽侯县上街镇文贤路1号
福建榕泰达信息技术服务有限公司	总经理：陈小姐	地址：福州市闽侯县尚干镇榕泰汽车销售有限公司良安路20号
福州祥谦龙泰家具厂	厂长：陈烨	地址：福建省福州市闽侯县祥谦陵园旁龙泰工业区
福州方圆电机有限公司	总经理：陈剑平	地址：中国 福建 闽侯县 闽侯县铁岭集中工业区二期
福州市鼓楼区柏雅工艺品有限公司	总经理：程章瑛	地址：中国 福建 闽侯县 甘蔗镇甘洲园工业区
福州富坤工艺品有限公司	总经理：林明月	地址：中国 福建 闽侯县 甘蔗陈店湖工业区
福州龙楼阁木业有限公司	总经理：郑顺源	地址：福建福州闽侯县荆溪工业园18号
福州锐新金属有限公司	总经理：陈光枝	地址：中国 福建 闽侯县 青口投资区消防二中队旁（东南汽车城内）
闽侯县堂辰机电有限公司	总经理：陈铮	地址：中国 福建 闽侯县 福建福州闽侯县甘蔗街道悬石村218号
福州鹏达金属材料有限公司	总经理：陈爱珠	地址：中国 福建 闽侯县 福州市闽侯县甘蔗陈店湖工业小区
福州市闽侯县富恒粉末冶金有限公司	总经理：陈勇枫	地址：中国 福建 闽侯县 福州市闽侯县甘蔗墩园洲工业区
福州峰祥野营用品有限公司	总经理：林沣	地址：中国 福建 闽侯县 福建省福州市闽候县祥谦镇凤港村
闽侯县鸿超家居制造有限公司	总经理：洪海鸿	地址：中国 福建 闽侯县 福州市闽侯县白沙镇长坪园福商路鸿超家居
闽侯县屋语家具有限公司	总经理：钟宙明	地址：中国 福建 福州市 福建省福州市闽侯县甘蔗镇143号
澳韵门业有限公司	总经理：郑顺源	地址：福建省福州市闽侯县荆溪镇古山洲工业园18号
福州银色魅力商铺	null	地址：中国 福建 福州市 福建省闽侯县
闽侯县永胜建材厂	厂长：黄香访	地址：中国 福建 福州市 闽侯县荆溪镇永丰村
美家居装修设计工程公司	null	地址：中国 福建 福州市 闽侯县甘蔗镇街心路
闽侯县得利药店	null	地址：中国 福建 福州市 闽侯县廷坪乡政府
福州黄氏药业有限公司物流部	null	地址：中国 福建 福州市 闽侯县荆溪镇光明村上沙68号
陈自和(个体经营）	null	地址：中国 福建 福州市 福建省福州市闽侯县上街镇马保石沙新村8幢610
绿源竹工艺厂	null	地址：中国 福建 福州市 福州市闽侯县上街镇溪源村
福建省闽侯展发橡塑制品有限公司	总经理：张正求	地址：中国 福建 福州市 福建省闽侯县白沙镇下浦路55号
四元贸易公司	null	地址：中国 福建 福州市 闽侯县上街镇侯官村101号
许贤浪（个人）	null	地址：中国 福建 福州市 福州闽侯县上街镇工贸路
福州白丸子公司	null	地址：中国 福建 福州市 福建省福州闽侯县埔前村90号
闽侯县城关供销社食品蜜饯厂	null	地址：中国 福建 福州市 福建省闽侯县甘蔗镇三英村环城路26号
闽侯县职工物价监督总站	站长：林华霖	地址：福建省福州市闽侯县甘蔗镇街心路
闽侯县增辉管线安装有限公司	总经理：张增辉	地址：福建省福州市闽侯县尚干镇红新村
闽侯县运输集团公司南通分公司	总经理：张寿平	地址：福建省福州市闽侯县南通镇南通街
闽侯县邮电多种经营部	null	地址：福建省福州市闽侯县甘蔗镇街心路１４２号
闽侯县永丰工艺精品有限公司	总经理：金恩煌	地址：中国 福建 福州市 闽侯县荆溪镇永丰工业区
闽侯县益农农技推广经营部	老板：陈训彬	地址：福建省福州市闽侯县甘蔗镇八一八东路统战部楼下
闽侯县益民除四害服务部	老板：陈金蕊	地址：福建省福州市闽侯县甘蔗镇街心路２２号
闽侯县艺术木器加工场G	null	地址：福建省福州市闽侯县南通银安村
闽侯县医学会	null	地址：福建省福州市闽侯县甘蔗镇街心路22号
闽侯县耀华建筑有限公司	null	地址：福建省福州市闽侯县青口镇工业路
闽侯县洋里忠历食杂店	null	地址：福建省福州市闽侯县洋里乡洋里村
闽侯县洋里玉华食杂店	null	地址：福建省福州市闽侯县洋里乡洋里街
闽侯县洋里迎德养殖场	null	地址：福建省福州市闽侯县洋里乡洋头村
闽侯县洋里秀钦日杂店	null	地址：福建省福州市闽侯县洋里乡市场
闽侯县洋里兴业装修建材制品厂	null	地址：福建省福州市闽侯县洋里乡安仁村
闽侯县洋里欣连食什店	null	地址：福建省福州市闽侯县洋里乡洋里村
闽侯县洋里小箬必贵毛笔加工场	null	地址：福建省福州市闽侯县洋里乡小箬村
闽侯县洋里乡洋里村谢玉梅食杂店	null	地址：福建省福州市闽侯县洋里乡洋里村
闽侯县洋里乡刘地村经济合作管理委员会	联系人：魏智铿	地址：福建省福州市闽侯县洋里乡刘地村
闽侯县洋里乡岭兜村经济合作管理委员会	联系人：江作明	地址：福建省福州市闽侯县洋里乡岭兜村
闽侯县洋里乡林洋村经济合作管理委员会	联系人：张孟森	地址：福建省福州市闽侯县洋里乡林洋村
闽侯县洋里乡花兰食杂店	null	地址：福建省福州市闽侯县洋里乡洋里村
闽侯县洋里乡法律服务所	null	地址：福建省福州市闽侯县洋里乡
闽侯县洋里乡春萌食杂店	null	地址：福建省福州市闽侯县洋里乡洋里街
闽侯县洋里乡长基村经济合作管理委员会	null	地址：福建省福州市闽侯县洋里乡长基村
闽侯县洋里梧英食什店	null	地址：福建省福州市闽侯县洋里乡花桥村80号
闽侯县洋里维如食杂店	null	地址：福建省福州市闽侯县洋里花桥街
闽侯县洋里王氏文化电子经营部G	null	地址：福建省福州市闽侯县洋里乡花桥街86号
闽侯县洋里淑珍食杂店	null	地址：福建省福州市闽侯县洋里乡绅带桥前街
闽侯县洋里榕妹食杂店	null	地址：福建省福州市闽侯县洋里乡
闽侯县洋里榕华钻探劳务队	队长：林世钦	地址：福建省福州市闽侯县洋里乡后坑村
闽侯县洋里粮食管理站	null	地址：福建省福州市闽侯县洋里乡绅带村
闽侯县洋里金河建材综合场	null	地址：福建省福州市闽侯县洋里乡小若村
闽侯县洋里花桥英华食杂店	null	地址：福建省福州市闽侯县洋里乡花桥村
闽侯县洋里桂花食杂店	null	地址：福建省福州市闽侯县洋里乡绅带村
闽侯县洋里安仁金蹀钻探劳务队G	null	地址：福建省福州市闽侯县洋里乡安仁村
闽侯县烟草公司南通经营部	null	地址：福建省福州市闽侯县南通镇
闽侯县星光五金冷作加工厂	厂长：吴星光	地址：福建省福州市闽侯县青口镇吉山村
闽侯县兴隆食杂店	null	地址：福建省福州市闽侯县荆溪镇徐家村长
闽侯县信达信息中介服务有限公司	null	地址：福建省福州市闽侯县甘蔗镇入城路
闽侯县新鑫苦味果蔬有限公司	总经理：张大鹏	地址：福建省福州市闽侯县洋里乡新见村
闽侯县新天地娱乐城	null	地址：福建省福州市闽侯县上街镇红峰村
闽侯县新岐运输站	null	地址：福建省福州市闽侯县南通镇新岐村东２号
闽侯县新锦达电子贸易有限公司	null	地址：福建省福州市闽侯县洋里乡安仁村61号
闽侯县小箬乡小箬村经济合作管理委员会	null	地址：福建省福州市闽侯县小箬乡小箬村
闽侯县小箬乡西村村经济合作社	联系人：林允锋	地址：福建省福州市闽侯县小箬乡西村
闽侯县小箬乡社会事务办公室	null	地址：福建省福州市闽侯县小箬乡人民政府内
闽侯县小箬乡企业管理站	null	地址：福建省福州市闽侯县小箬乡政府内
闽侯县小箬乡橄榄场	联系人：林修淡	地址：福建省福州市闽侯县小箬乡小箬村
闽侯县小箬农村合作基金会	null	地址：福建省福州市闽侯县洋里乡小箬村
闽侯县小箬临江建材场	联系人：陈世武	地址：福建省福州市闽侯县小箬乡小箬村
闽侯县小箬粮食管理站	null	地址：福建省福州市闽侯县小箬乡
闽侯县小箬建乡工作筹备小组	null	地址：福建省福州市闽侯县小箬乡
闽侯县祥谦镇中院村经济合作社	null	地址：福建省福州市闽侯县祥谦镇中院村
闽侯县祥谦镇枕峰村经济合作管理委员会	联系人：林木亮	地址：福建省福州市闽侯县祥谦镇枕峰村
闽侯县祥谦镇友谊微机配件厂	null	地址：福建省福州市闽侯县祥谦镇泮洋村
闽侯县祥谦镇肖家道村经济合作社管理委员会	null	地址：福建省福州市闽侯县祥谦镇肖家道村
闽侯县祥谦镇双龙村龙山村民小组	联系人：林兆光	地址：福建省福州市闽侯县祥谦镇双龙村
闽侯县祥谦镇社会治安综合治理委员会办公室	null	地址：福建省福州市闽侯县祥谦镇
闽侯县祥谦镇岐尾村经济合作社	null	地址：福建省福州市闽侯县祥谦镇岐尾村
闽侯县祥谦镇农业机械管理站	站长：林祥东	地址：福建省福州市闽侯县祥谦镇政府
闽侯县祥谦镇兰圃村经济合作社	null	地址：福建省福州市闽侯县祥谦镇兰圃村
闽侯县祥谦镇江中村合作基金会	null	地址：福建省福州市闽侯县祥谦镇江中村
闽侯县祥谦镇红南竹木转站	null	地址：福建省福州市闽侯县祥谦镇枕峰村红南联队公路边
闽侯县祥谦镇法律服务所（闽侯县祥谦镇司法办）	null	地址：福建省福州市闽侯县祥谦镇泮洋村
闽侯县祥谦镇船舶管理站	站长：林品忠	地址：福建省福州市闽侯县祥谦镇
闽侯县祥谦镇爱国石料场	null	地址：福建省福州市闽侯县祥谦镇枕峰村
闽侯县祥谦枕峰装璜材料厂	null	地址：福建省福州市闽侯县祥谦镇枕峰村
闽侯县祥谦运输公司	总经理：林悯	地址：福建省福州市闽侯县祥谦镇大桥边
闽侯县祥谦洋下村经济合作社	null	地址：福建省福州市闽侯县祥谦镇洋下村
闽侯县祥谦新晨塑料袋加工厂	厂长：林增福	地址：福建省福州市闽侯县祥谦镇兰布村坊兜５２号
闽侯县祥谦榕中养殖场	联系人：陈春乐	地址：福建省福州市闽侯县祥谦镇中院岐头村
闽侯县祥谦榕祥钻井队G	null	地址：福建省福州市闽侯县祥谦镇洋下村企头顶42号
闽侯县祥谦榕贸燃料站Ｇ	null	地址：福建省福州市闽侯县祥谦镇中院村
闽侯县祥谦仁辉纸巾厂	厂长：黄宝仁	地址：福建省福州市闽侯县祥谦镇官前村
闽侯县祥谦培浩石料场	联系人：陈培浩	地址：福建省福州市闽侯县祥谦镇中院村
闽侯县祥谦明鑫茶果经营部	null	地址：福建省福州市闽侯县祥谦镇洋下村
闽侯县祥谦闽丰予制品加工场	null	地址：福建省福州市闽侯县祥谦镇凤港村
闽侯县祥谦龙祥钻井队G	null	地址：福建省福州市闽侯县祥谦枕峰红兰林钦饭店
闽侯县祥谦龙轻工有限公司	null	地址：福建省福州市闽侯县竹岐乡白龙月半山
闽侯县祥谦兰布木榕食杂店	null	地址：福建省福州市闽侯县祥谦镇兰布村
闽侯县祥谦合作总店青口第三门市部	null	地址：福建省福州市闽侯县祥谦镇青口镇
闽侯县祥谦福贵沙场	null	地址：福建省福州市闽侯县祥谦镇公路段
闽侯县祥谦凤港钢锉厂	null	地址：福建省福州市闽侯县祥谦镇凤港村
闽侯县祥谦宝富沙场	null	地址：福建省福州市闽侯县祥谦镇
闽侯县乡镇企业管理局	null	地址：福建省福州市闽侯县甘蔗镇甘洲路１９８号
闽侯县乡镇企业产品质量检验所	null	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县峡南贤养油流量计维修站G	null	地址：福建省福州市闽侯县闽江乡峡南村道头76号
闽侯县峡南承舟日杂店	null	地址：福建省福州市闽侯县闽江乡峡南村马山尾11号
闽侯县溪坪水库建设指挥部	老板：张开国	地址：福建省福州市闽侯县甘蔗镇八一八西路５８号
闽侯县物资局	null	地址：福建省福州市闽侯县甘蔗镇街心路
闽侯县物资公司尚干供应站	null	地址：福建省福州市闽侯县尚干镇桥头迎宾楼一层
闽侯县物价检查所	所长：刘义勇	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县五溪淡水养殖场	null	地址：福建省福州市闽侯县南屿镇五都村
闽侯县卫生保健服务中心	null	地址：福建省福州市闽侯县甘蔗镇街心路２２号
闽侯县旺达再生胶厂	null	地址：福建省福州市闽侯县上街镇侯官村
闽侯县外商投资企业联谊会	null	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县土地开发征用事务部	null	地址：福建省福州市闽侯县甘蔗镇交通路１号
闽侯县土地管理局洋里土地管理所	所长：詹万灿	地址：福建省福州市闽侯县洋里乡
闽侯县土地管理局小箬土地管理所	null	地址：福建省福州市闽侯县小箬乡
闽侯县闽江友联喷油泵维修店	老板：林容华	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县闽江兴星渔农机械厂	null	地址：福建省福州市闽侯县闽江乡峡南兴星村９９号
闽侯县闽江乡渔轮第十五队	null	地址：福建省福州市闽侯县闽江乡公婆村４０号
闽侯县闽江乡渔轮第八队	null	地址：福建省福州市闽侯县闽江乡公婆村４０号
闽侯县闽江粮食管理站	null	地址：福建省福州市闽侯县闽江乡峡南村道头８６号
闽侯县闽江联运站	null	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县闽江可仁食杂综合店	null	地址：福建省福州市闽侯县闽江乡峡南村道头1号
闽侯县闽江酱奇厂	null	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县闽江富兴渔网加工店	null	地址：福建省福州市闽侯县闽江乡红旗村
闽侯县闽江第十二生产队	null	地址：福建省福州市闽侯县闽江乡胜利村
闽侯县闽达木材加工有限公司	总经理：张秋海	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县茂税打铁店G	null	地址：福建省福州市闽侯县甘蔗镇校园路22号
闽侯县马保农业综合开发示范场	null	地址：福建省福州市闽侯县上街镇马保村
闽侯县绿洋农牧业开发综合场	联系人：季高雪	地址：福建省福州市闽侯县洋里乡刘洋村
闽侯县旅游开发公司经营部	null	地址：福建省福州市闽侯县甘蔗镇街心路204号
闽侯县隆盛贸易经营部	老板：杨丽珍	地址：福建省福州市闽侯县甘蔗镇城关８１８西路１３０号
闽侯县联谊家用电器店G	null	地址：福建省福州市闽侯县上街镇街道
闽侯县立书汽车蓬垫加工店	老板：林立书	地址：福建省福州市闽侯县甘蔗镇甘洲路
闽侯县兰全食杂店	null	地址：福建省福州市闽侯县南通镇文山村
闽侯县抗旱服务队	null	地址：福建省福州市闽侯县甘蔗镇交通路2号
闽侯县康福保健品特艺厂	null	地址：福建省福州市闽侯县南通镇马腾村
闽侯县军械库－龙山桥交通战备公路建设指挥部	老板：程道龙	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县荆溪芝元机械加工厂	厂长：高芝元	地址：福建省福州市闽侯县荆溪镇永丰文山里
闽侯县荆溪镇植物医院	院长：张宝金	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪镇永丰村合作经济管理委员会	联系人：罗发锦	地址：福建省福州市闽侯县荆溪镇永丰村
闽侯县荆溪镇永丰村合作基金会	null	地址：福建省福州市闽侯县荆溪镇永丰村亭下17号
闽侯县荆溪镇荆溪村合作基金会	null	地址：福建省福州市闽侯县荆溪镇荆溪村
闽侯县荆溪镇厚屿村合作经济管理委员会	联系人：林廷谷	地址：福建省福州市闽侯县荆溪镇厚屿村
闽侯县荆溪镇关口村合作经济管理委员会	联系人：王寿林	地址：福建省福州市闽侯县荆溪镇关口村
闽侯县荆溪镇港头景端养殖场	null	地址：福建省福州市闽侯县荆溪镇港头村
闽侯县荆溪镇丁钦修理店	null	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪勇飞地板木加工场	null	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪永荣五金加工店	老板：郭泳荣	地址：福建省福州市闽侯县荆溪镇永丰村文山里３号
闽侯县荆溪英玉卫生纸加工户	联系人：徐英玉	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪小晴修理店	null	地址：福建省福州市闽侯县荆溪镇光明村
闽侯县荆溪溪下第二养殖场	null	地址：福建省福州市闽侯县荆溪溪下村
闽侯县荆溪顺利汽车教练所	所长：陈辉	地址：福建省福州市闽侯县荆溪镇光明村新东１１号
闽侯县荆溪世桐沙石只场	联系人：陈世桐	地址：福建省福州市闽侯县荆溪镇永丰村浦口７号
闽侯县荆溪生官汽车修理场	联系人：吴生官	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪榕林木材加工厂	厂长：江发兴	地址：福建省福州市闽侯县荆溪镇古山洲村
闽侯县荆溪勤弟食杂店G	null	地址：福建省福州市闽侯县荆溪镇徐家村68号
闽侯县荆溪启旭壳灰加工场	null	地址：福建省福州市闽侯县荆溪镇洽浦村
闽侯县荆溪明前修理店	null	地址：福建省福州市闽侯县荆溪镇徐家村23号
闽侯县荆溪美燕水暖配件店	null	地址：福建省福州市闽侯县荆溪镇厚屿村
闽侯县荆溪梅煊加油店	老板：林梅煊	地址：福建省福州市闽侯县荆溪镇永丰村文山里４２号
闽侯县荆溪粮食管理站	null	地址：福建省福州市闽侯县荆溪镇坛石村319号
闽侯县荆溪连官农机配件店	null	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪凯旋木箱厂	null	地址：福建省福州市闽侯县荆溪镇光旺村
闽侯县荆溪锦春扁铁加工场	null	地址：福建省福州市闽侯县荆溪镇永丰村浦口1号
闽侯县荆溪洪坚修理店	null	地址：福建省福州市闽侯县荆溪镇坛石村
闽侯县荆溪何忠食杂店	null	地址：福建省福州市闽侯县荆溪镇古山洲
闽侯县荆溪合作总店荆溪第四门市部	null	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县荆溪合作总店关口门市部	null	地址：福建省福州市闽侯县荆溪镇关口村
闽侯县荆溪合作总店港头旱头门市部	null	地址：福建省福州市闽侯县荆溪镇光明村
闽侯县荆溪合作总店第二门市部	null	地址：福建省福州市闽侯县荆溪镇徐家村124号
闽侯县荆溪国荣汽车挡风玻璃安装店	null	地址：福建省福州市闽侯县荆溪镇坛石村325号
闽侯县荆溪观雄水泥店	null	地址：福建省福州市闽侯县荆溪镇厚屿村
闽侯县荆溪关中竹草制品厂	null	地址：福建省福州市闽侯县荆溪镇关中村白石洋
闽侯县荆溪古山洲汽车修理店	null	地址：福建省福州市闽侯县荆溪镇光明村下沙23号
闽侯县荆溪古山洲漆器实验厂	null	地址：福建省福州市闽侯县荆溪镇古山洲村
闽侯县荆溪丰盛蔬菜加工场	null	地址：福建省福州市闽侯县荆溪镇坛石村31号
闽侯县荆溪本凯日杂店	null	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯县经济局	null	地址：福建省福州市闽侯县甘蔗镇交通路2号
闽侯县京闽建材有限公司	null	地址：福建省福州市闽侯县荆溪镇永丰村文山里
闽侯县金球翻砂场G	null	地址：福建省福州市闽侯县上街美岐村
闽侯县教育学会	联系人：梁王圭胜	地址：福建省福州市闽侯县甘蔗镇交通路６０号
闽侯县交通战备领导小组	联系人：陈文波	地址：福建省福州市闽侯县交通局内
闽侯县交通运输管理所	null	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县酱?厂荆溪批发部	null	地址：福建省福州市闽侯县荆溪镇白头村
闽侯县江口腾飞鞋材有限公司	null	地址：福建省福州市闽侯县南屿镇江口村过透93号
闽侯县江口染织一厂	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县江口明华棉毛厂	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县江口棉纺织五厂	厂长：宋立桦	地址：中国 福建 福州市 闽侯县南屿镇江口村
闽侯县江口凯旋织布	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县江口过偷纺织一厂	null	地址：福建省福州市闽侯县南屿镇江口村过透
闽侯县江口福星纺织有限公司	null	地址：福建省福州市闽侯县南屿镇江口村九石
闽侯县建筑材料公司购销站	null	地址：福建省福州市闽侯县青口镇青口路
闽侯县建行职工技术协作委员会服务部	老板：林兆惠	地址：福建省福州市闽侯县八一八西路１２８号
闽侯县价格事务所	null	地址：福建省福州市闽侯县甘蔗镇入城路
闽侯县家家乐酒酿饮品厂	厂长：顾鹤年	地址：福建省福州市闽侯县甘蔗镇横屿村３１２号
闽侯县计划局	null	地址：福建省福州市闽侯县甘蔗镇交通路２号
闽侯县环境秩序综合整治指挥部	老板：潘革生	地址：福建省福州市闽侯县甘蔗镇闽侯宾馆
闽侯县华英教育装备中心	联系人：叶青	地址：福建省福州市闽侯县甘蔗镇校园路３７号
闽侯县华泰建材有限公司	null	地址：福建省福州市闽侯县上街镇商业街5号
闽侯县华盛特艺厂	null	地址：福建省福州市闽侯县荆溪镇永丰村
闽侯县厚屿自力脱胎漆器厂	null	地址：福建省福州市闽侯县荆溪镇厚屿村184-1号
闽侯县侯官运输站石只场	null	地址：福建省福州市闽侯县上街镇侯官村7号
闽侯县鸿尾运输站	null	地址：福建省福州市闽侯县鸿尾乡原口村
闽侯县鸿尾玉芳灶具店	null	地址：福建省福州市闽侯县鸿尾乡石佛头街
闽侯县鸿尾星峰竹编厂	null	地址：福建省福州市闽侯县鸿尾乡石佛头街66号
闽侯县鸿尾兴华竹编厂	null	地址：福建省福州市闽侯县鸿尾乡石佛头街112号
闽侯县鸿尾乡溪元村柑桔场	null	地址：福建省福州市闽侯县鸿尾乡溪元村
闽侯县鸿尾乡蔬菜办	null	地址：福建省福州市闽侯县鸿尾乡石佛头街
闽侯县鸿尾乡石溪线道路建设指挥部	老板：金清峰	地址：福建省福州市闽侯县鸿尾乡人民政府院内
闽侯县鸿尾乡桥头村实验果场	联系人：郑尔平	地址：福建省福州市闽侯县鸿尾乡桥头村
闽侯县鸿尾乡农业机械管理站	站长：石王湘	地址：福建省福州市闽侯县鸿尾乡鸿尾街
闽侯县鸿尾乡农村合作基金会	联系人：李述通	地址：福建省福州市闽侯县鸿尾乡石佛头街
闽侯县鸿尾乡离退休干部活动中心	null	地址：福建省福州市闽侯县鸿尾乡石佛头街
闽侯县鸿尾乡法律服务所	所长：李道根	地址：福建省福州市闽侯县鸿尾乡
闽侯县鸿尾乡榜上柑桔场	null	地址：福建省福州市闽侯县鸿尾乡榜上村
闽侯县上街供销社蔗州购销处	联系人：林仕华	地址：福建省福州市闽侯县上街镇蔗州村
闽侯县上街供销社新洲购销处	联系人：林仕华	地址：福建省福州市闽侯县上街镇新洲村
闽侯县南屿供销社五交化门市部	老板：陈士平	地址：福建省福州市闽侯县南屿镇南屿街
闽侯县上街供销社建平购销处	联系人：林仕华	地址：福建省福州市闽侯县上街镇建平村
闽侯县大湖供销社坂头购销处	联系人：姚心旗	地址：福建省福州市闽侯县大湖乡坂头村
闽侯县鸿尾供销社竹编草织厂	null	地址：福建省福州市闽侯县鸿尾乡石佛头街
福建省闽侯县南屿供销社针纺联营厂	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县大湖供销社江洋生产资料	联系人：姚心旗	地址：福建省福州市闽侯县大湖乡江洋村
闽侯县上街供销社新峰商场	null	地址：福建省福州市闽侯县上街镇新峰村
闽侯县洋里供销社安仁购销处	联系人：江本淦	地址：福建省福州市闽侯县洋里乡安仁村
闽侯县南屿供销社双龙购销处	联系人：陈超凡	地址：福建省福州市闽侯县南屿镇双龙村
闽侯县南屿供销社江口购销处	联系人：徐碧金	地址：福建省福州市闽侯县南屿镇江口村
闽侯县上街供销社侯官购销处	联系人：林仕华	地址：福建省福州市闽侯县上街镇侯官村
闽侯县洋里供销社岭兜购销处	联系人：江本淦	地址：福建省福州市闽侯县洋里乡岭兜村
闽侯县上街供销社酱　厂	null	地址：福建省福州市闽侯县上街镇侯官村
